timestamp,fast_fee,medium_fee,low_fee,hodl_waves,btc_price
2025-08-01 00:00:00+00:00,7.29,9.16,6.27,75.16,201531.22
2025-08-01 01:00:00+00:00,6.87,6.44,7.95,78.95,192152.17
2025-08-01 02:00:00+00:00,9.54,6.93,4.90,81.45,201674.12
2025-08-01 03:00:00+00:00,5.91,9.93,6.23,79.82,187616.50
2025-08-01 04:00:00+00:00,10.82,6.32,5.20,85.68,212919.72
2025-08-01 05:00:00+00:00,6.73,9.87,2.06,87.80,193908.16
2025-08-01 06:00:00+00:00,11.12,9.23,8.75,89.08,190516.40
2025-08-01 07:00:00+00:00,6.24,6.31,7.26,88.62,218279.61
2025-08-01 08:00:00+00:00,11.42,5.64,9.53,87.49,213845.50
2025-08-01 09:00:00+00:00,12.96,7.07,10.44,81.45,219995.19
2025-08-01 10:00:00+00:00,8.65,8.51,6.30,86.16,195733.16
2025-08-01 11:00:00+00:00,11.43,9.05,7.28,85.02,200235.69
2025-08-01 12:00:00+00:00,13.13,5.76,8.47,93.57,219242.24
2025-08-01 13:00:00+00:00,11.59,5.39,9.82,90.18,219632.27
2025-08-01 14:00:00+00:00,5.44,9.67,7.23,92.47,215732.83
2025-08-01 15:00:00+00:00,14.67,4.61,8.61,86.09,197976.43
2025-08-01 16:00:00+00:00,12.36,6.66,9.42,80.81,206364.45
2025-08-01 17:00:00+00:00,12.33,5.78,7.65,90.25,187601.53
2025-08-01 18:00:00+00:00,10.64,5.47,6.71,72.14,209325.96
2025-08-01 19:00:00+00:00,5.88,6.05,8.22,70.88,218911.93
2025-08-01 20:00:00+00:00,13.24,4.12,9.78,79.15,192621.99
2025-08-01 21:00:00+00:00,13.30,9.01,7.12,90.88,188887.83
2025-08-01 22:00:00+00:00,9.99,5.41,8.54,75.89,193530.60
2025-08-01 23:00:00+00:00,5.10,7.84,9.86,85.01,187250.49
2025-08-02 00:00:00+00:00,7.61,9.62,6.42,83.97,188634.97
2025-08-02 01:00:00+00:00,7.37,6.32,7.36,86.75,201601.24
2025-08-02 02:00:00+00:00,12.83,4.02,8.19,70.53,196180.37
2025-08-02 03:00:00+00:00,14.56,4.77,9.38,79.34,191249.19
2025-08-02 04:00:00+00:00,9.40,5.89,7.10,74.97,188977.56
2025-08-02 05:00:00+00:00,9.46,4.27,8.50,86.59,202133.15
2025-08-02 06:00:00+00:00,13.36,9.72,9.91,90.81,216409.67
2025-08-02 07:00:00+00:00,13.86,5.34,7.88,91.70,217113.45
2025-08-02 08:00:00+00:00,11.60,8.18,8.09,88.00,183453.77
2025-08-02 09:00:00+00:00,5.90,7.75,9.34,94.07,206883.41
2025-08-02 10:00:00+00:00,9.69,7.01,8.81,74.81,197572.55
2025-08-02 11:00:00+00:00,11.25,3.25,7.43,90.42,208473.40
2025-08-02 12:00:00+00:00,12.19,7.22,9.25,92.53,210380.46
2025-08-02 13:00:00+00:00,14.77,8.90,8.72,71.59,210495.29
2025-08-02 14:00:00+00:00,10.28,4.85,7.53,74.85,203721.46
2025-08-02 15:00:00+00:00,10.19,4.54,8.57,87.18,189113.38
2025-08-02 16:00:00+00:00,7.01,7.26,9.22,91.02,196854.02
2025-08-02 17:00:00+00:00,14.26,5.17,7.67,76.10,219036.03
2025-08-02 18:00:00+00:00,13.43,7.20,8.76,79.73,209530.54
2025-08-02 19:00:00+00:00,14.05,5.94,9.30,83.26,211842.35
2025-08-02 20:00:00+00:00,5.37,3.63,2.18,72.40,184085.54
2025-08-02 21:00:00+00:00,12.11,4.22,4.59,82.63,207665.30
2025-08-02 22:00:00+00:00,8.92,9.86,6.95,81.54,218638.95
2025-08-02 23:00:00+00:00,14.28,5.48,7.24,93.59,199528.84
2025-08-03 00:00:00+00:00,5.03,3.83,1.65,77.80,189804.26
2025-08-03 01:00:00+00:00,8.31,4.14,6.99,85.28,196405.24
2025-08-03 02:00:00+00:00,12.60,5.05,2.69,91.93,205346.82
2025-08-03 03:00:00+00:00,11.18,8.08,5.76,79.67,184803.81
2025-08-03 04:00:00+00:00,14.97,6.32,4.76,77.94,188360.86
2025-08-03 05:00:00+00:00,7.13,8.10,6.71,94.16,198258.66
2025-08-03 06:00:00+00:00,7.57,9.50,4.98,86.36,182981.81
2025-08-03 07:00:00+00:00,5.73,5.99,5.90,75.95,213351.94
2025-08-03 08:00:00+00:00,7.27,7.46,3.90,85.71,213801.37
2025-08-03 09:00:00+00:00,8.77,9.34,2.14,93.59,180605.60
2025-08-03 10:00:00+00:00,13.65,3.55,3.04,94.89,195780.97
2025-08-03 11:00:00+00:00,14.87,3.56,7.32,70.81,214560.12
2025-08-03 12:00:00+00:00,12.48,6.41,4.34,73.65,204189.44
2025-08-03 13:00:00+00:00,5.84,9.43,1.56,79.03,189082.07
2025-08-03 14:00:00+00:00,12.79,6.78,6.24,88.62,203152.00
2025-08-03 15:00:00+00:00,6.52,4.00,4.76,70.89,183130.10
2025-08-03 16:00:00+00:00,12.33,3.76,1.58,70.02,200852.06
2025-08-03 17:00:00+00:00,11.75,6.71,6.69,90.54,181379.31
